Name,Adresse,Handynummer,Bewertung,Breite,Länge,Website Url
Hair Salon Löwenmähne - Hair & Color Experts,"Gerhart-Hauptmann-Platz 48b, 20095 Hamburg, Germany",+49 40 30392665,4.8,53.5516494,9.9995595,
Nova Hairstudio,"Neuer Wall 9, 20354 Hamburg, Germany",+49 40 35004989,4.9,53.5522963,9.9925645,https://www.nova-hairstudio.de/
Friseur Nicolaisen Intercoiffure Hamburg - Ballindamm,"Ballindamm 40, 20095 Hamburg, Germany",+49 40 40185969,4.7,53.5516664,9.9949512,https://nicolaisen-hamburg.de/ballindamm/
dennis friseur,"Ferdinandstraße 6, 20095 Hamburg, Germany",+49 40 32904650,4.8,53.5548426,10.0007833,https://www.dennisfriseur.de/
Alsterschnitt - Dein Friseur in der Hamburger Innenstadt,"Raboisen 16, 20095 Hamburg, Germany",+49 40 336412,4.6,53.5540325,10.0011833,https://www.alsterschnitt.de/
Daum,"Pelzerstraße 4, 20095 Hamburg, Germany",+49 40 346897,4.3,53.5497405,9.9947232,http://www.friseurehamburg.com/
Dimen Soreni Hairdesign | Friseur Hamburg Innenstadt (Balayage),"Große Theaterstraße 30, 20354 Hamburg, Germany",+49 40 33473447,4.9,53.5569161,9.988635,https://dimensoreni.de/
Hairfantastic,"Gertrudenkirchhof 1, 20095 Hamburg, Germany",+49 40 338866,4.3,53.5519387,10.0010297,http://www.hairfantastic.de/
HAGEL Salon City Bergstraße,"Bergstraße 17, 20095 Hamburg, Germany",+49 40 326620,4.6,53.5511278,9.9948198,http://www.hagel-hair.de/
Helene Hansemann hairstyle & extensions,"Großer Burstah 1, 20457 Hamburg, Germany",,4.8,53.5487569,9.9910852,http://helene-hansemann.de/
Martin Max Barber,"Hopfensack 22, 20095 Hamburg, Germany",+49 40 30393836,4.7,53.5484669,9.9990311,http://www.martinmax.de/
Janet Andriske Coiffeur & Haarverlängerung,"Graskeller 2, 20457 Hamburg, Germany",+49 40 32031883,4.9,53.5493534,9.9870679,https://www.haarverlaengerung-andriske.de/
Oppermann Haute Coiffure,"Domstraße 18, 20095 Hamburg, Germany",+49 40 37503956,4.5,53.5487314,9.994793,http://www.oppermann-hamburg.de/
FRISURENTRAUM - Dein Lieblings - Friseur | Hamburg Innenstadt,"Alter Wall 67 - 69, 20457 Hamburg, Germany",+49 40 32025881,4.8,53.5492543,9.9882426,https://www.frisurentraum.de/alter-wall
Sassoon Salon,"Neuer Wall 31, 20354 Hamburg, Germany",+49 40 36141111,4.5,53.5515894,9.9909615,http://www.sassoon-salon.de/
TRIO hair & company,"Ferdinandstraße 47, 20095 Hamburg, Germany",+49 40 32529678,4.7,53.5532906,9.9989387,http://www.facebook.com/Triohair.Hamburg
Home Of Hair City Friseur,"Springeltwiete 7, 20095 Hamburg, Germany",+49 40 76758300,5,53.5496712,10.0032872,https://www.studiobookr.com/home-of-hair-63948?dcc=1
"Goldene Schere Hamburg | Friseur, Solarium & dauerhafte Haarentfernung","Jakobikirchhof, 20095 Hamburg, Germany",+49 40 23648001,4.9,53.5504387,10.001737,
Cut for Friends GmbH,"Binderstraße 24, 20146 Hamburg, Germany",+49 40 48508088,4.7,53.5680386,9.9869806,https://www.cutforfriends.com/
SevenSenses La Biostetique Hairdressing Salon Hamburg downtown,"Große Bleichen 21, 20354 Hamburg, Germany",+49 40 87876155,4.7,53.5527294,9.9893221,http://www.sevensenses.de.com/
Herr Brito Herrenfriseur,"Kleine Johannisstraße 6, 20457 Hamburg, Germany",+49 40 364928,4.7,53.5496656,9.9936323,http://www.herrbrito-herrenfriseur.de/
Eric:Barbier – Haircut & Shave | Ballindamm,"Ballindamm 36, 20095 Hamburg, Germany",+49 40 32901700,4.6,53.5523107,9.9961504,https://ericbarbier.de/?utm_source=nic&utm_medium=li&utm_campaign=de.ee.br.no.&utm_term=webseite&utm_content=ballindamm
Altstadt Friseure (ehem. City Friseur),"Altstädter Str. 19, 20095 Hamburg, Germany",+49 40 336222,4.9,53.549365,10.00196,http://www.altstadtfriseure.de/
AVEDA Secret Garden Hamburg,"St. Anscharplatz 10, 20354 Hamburg, Germany",+49 40 209339170,4.7,53.55525,9.98527,http://www.secretgarden-hamburg.de/
Mintunicorn by Großes Theater Loft,"Große Theaterstraße 7, 20354 Hamburg, Germany",+49 173 7290170,4.8,53.5563049,9.9910497,http://www.mintunicorn.com/
Anabell Bühl,"Schopenstehl 30, 20095 Hamburg, Germany",+49 40 59374358,4.7,53.5486409,9.9981479,https://www.anabellbuehl.com/
Salon St. Georg,"Lange Reihe 92, 20099 Hamburg, Germany",+49 176 60937593,4.7,53.558485,10.0128774,
Barber Frank Köster,"Neuer Jungfernstieg 9 -14, 20354 Hamburg, Germany",+49 40 340962,4.7,53.5555864,9.9915956,http://www.friseurkoester.de/
Katrin Mottschall,"Hohe Bleichen 7, 20354 Hamburg, Germany",+49 40 50748970,4.5,53.5529045,9.9867915,http://www.katrinmottschall.de/
Essanelle Ihr Friseur Karstadt Hamburg,"Karstadt, Mönckebergstraße 16, 20095 Hamburg, Germany",+49 40 3094457,4.2,53.5511385,9.9981105,https://www.essanelle.de/
Hair Salon Matsunaga GmbH,"Stadthausbrücke 5, 20355 Hamburg, Germany",+49 40 37519759,4.4,53.5514331,9.9855477,http://ginza-matsunaga.com/hamburg_de.html
Kamm In,"Brüderstraße 2, 20355 Hamburg, Germany",+49 40 345293,4.7,53.551311,9.9822184,http://www.kamm-in-online.de/
Salon Savi,"Singapurstraße 3, 20457 Hamburg, Germany",+49 40 31976675,4.6,53.5432076,9.9972212,https://www.salonsavi.de/
Alster Friseur,"Fehlandtstraße 43, 20354 Hamburg, Germany",+49 176 31154715,4.9,53.5566322,9.9905599,
GEORGIE - Hamburg St. Georg,"Lange Reihe 23, 20099 Hamburg, Germany",+49 40 55502767,4.8,53.5563885,10.0096526,https://elbschoen.de/
HERRLINDNER Friseure,"Dammtorstraße 27, 20354 Hamburg, Germany",+49 40 36919010,4.9,53.5570277,9.9889572,https://www.herrlindner.de/
Room21 Hair Hamburg,"Poolstraße 21, 20355 Hamburg, Germany",+49 40 18074693,4.8,53.5546484,9.9800332,https://room21hair.de/
Gentlemen's Barbier,"Osakaallee 2 Überseeboulevard HafenCity, 20457 Hamburg, Germany",+49 40 33483724,4.5,53.5435453,9.9976054,https://gentlemens-barbier.de/
Haarstudio Ibo,"Gerhofstraße 40, 20354 Hamburg, Germany",+49 40 343268,4.7,53.5548823,9.989231,http://www.friseur-ibo.de/
Studio Endorphine,"Steinwegpassage 2, 20355 Hamburg, Germany",+49 40 27160850,4.6,53.5506051,9.9824067,http://www.studio-endorphine.de/
Friseur IL Barbiere,"ABC-Straße, Eingang, Poststraße 4, 20354 Hamburg, Germany",+49 40 346673,4.6,53.5543681,9.9876784,https://www.instagram.com/il_barbiere81?igsh=MWJ2NHhrZTBxNjkyNQ==
WALTER | KRÜGER für Haar,"Springeltwiete 5, 20095 Hamburg, Germany",+49 40 342049,4.5,53.549538,10.003323,http://www.wk-haar.de/
Maren Zeitler Friseursalon,"Altstädter Str. 15, 20095 Hamburg, Germany",+49 40 324875,4.8,53.5494674,10.002593,
KAYAPATO THE NOBLE SPA,"Ballindamm 13 nicht im Kaufhaus am, Jungfernstieg, 20095 Hamburg, Germany",+49 40 30092257,4.4,53.5543388,9.9991829,http://www.kayapato.de/
Wolf Hairstyling,"Neuer Wall 15, 20354 Hamburg, Germany",+49 40 35015330,4.4,53.552097,9.9921749,https://www.wolfhairstyling.com/
Friseur am Michel,"Wincklerstraße 4, 20459 Hamburg, Germany",+49 40 371598,4.7,53.5478278,9.9802019,http://www.friseur-am-michel.de/
Innenstadt Friseur,"Mohlenhofstraße 4, 20095 Hamburg, Germany",+49 40 327683,4.9,53.5497565,10.0012416,http://www.innenstadtfriseur.de/
Jan Helmers Friseursalon,"Caffamacherreihe 41, 20355 Hamburg, Germany",+49 1512 3211186,4.9,53.5551378,9.9839556,http://www.jan-helmers.de/
Haupt Sache Hairdressing,"Großneumarkt 52, 20459 Hamburg, Germany",+49 40 346976,5,53.5501006,9.9805753,https://hauptsache-hh.de/
Friseur Bei den Mühren (Speicherstadt-Hafencity),"b. den Mühren 6, 20457 Hamburg, Germany",+49 40 30388783,4.6,53.5448931,9.9910382,http://www.friseurbeidenmuehren.de/
The Haarwerk Inh. M.Y.Celik GbR hairdresser,"Lange Reihe 101, 20099 Hamburg, Germany",+49 40 244422,4.7,53.5591883,10.0131262,http://www.dashaarwerkhamburg.de/
Mitschnitt Frisörsalon,"Schulterblatt 121, 20357 Hamburg, Germany",+49 40 437802,4.5,53.5647709,9.9592094,http://mitschnitt-online.de/
joern friseur,"Große Theaterstraße 41, 20354 Hamburg, Germany",+49 40 343422,4.9,53.5565141,9.9907808,https://www.joern-friseur.de/
Cutting Team,"Warburgstraße 7, 20354 Hamburg, Germany",+49 40 449119,5,53.559536,9.9940303,
HAGEL SHOP,"Jungfernstieg 48, 20354 Hamburg, Germany",+49 40 69276906,4.5,53.5551399,9.9897875,http://www.hagel-hair.de/
Möbius Friseursalon GmbH,"Ferdinandstraße 32, 20095 Hamburg, Germany",+49 40 336636,4.9,53.5540258,9.9996166,https://www.moebius-friseure.de/
YAS Friseur,"Herrengraben 25, 20459 Hamburg, Germany",+49 40 24435277,4.8,53.5473334,9.9826069,http://www.yas-friseur.de/
Peter Polzer Salon am Gänsemarkt,"Gänsemarkt 21-23, 20354 Hamburg, Germany",+49 40 342626,4,53.5547428,9.9885531,https://www.peterpolzer.de/salons/gaensemarkt
Svenos Salon,"Altstädter Str. 3, 20095 Hamburg, Germany",+49 40 32507871,4.6,53.5495314,10.0043718,https://www.facebook.com/SvenosSalon/
Cut in Cut out | Friseursalon in Hamburg Eimsbüttel,"Friseursalon | Cut in cut out |, Eppendorfer Weg 54, 20259 Hamburg, Germany",+49 40 56115583,4.8,53.5718159,9.9590931,https://buchung.treatwell.de/ort/100035487/menue/
Morè than Hair - Hamburg,"Elise-Averdieck-Straße 12, 20535 Hamburg, Germany",+49 40 18017645,4.8,53.5575494,10.036584,https://more-than-hair.mytreatwell.de/
Pony & Clyde Friseursalon,"Beim Strohhause 18, 20097 Hamburg, Germany",+49 40 247439,4.6,53.5528657,10.0216347,http://www.pony-clyde.de/
